track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
09cgbbadzZSKFd1hGN23p5,Bicep,Water,0.528,0.822,4,-5.371,0,0.0287,0.192,0.183,0.363,130.013,256899,4
5CE0k1VmTXgCtaa5L288LP,Jamie xx,KILL DEM,0.788,0.873,2,-6.188,1,0.0431,0.311,0.332,0.291,128.004,223537,4
2302Z0DrnuYan1AfNO04bz,TSHA,Anxious Mind,0.61,0.886,11,-6.739,0,0.0491,0.00138,0.0877,0.81,139.985,207841,4
45bfH0GZvUyujIBiKRhXso,Eliza Rose,B.O.T.A. (Baddest Of Them All),0.756,0.962,0,-7.526,1,0.0583,0.703,0.194,0.749,136.981,358267,4
32DqQqnNiZI5VxozdaUUDu,Fred again..,Kammy (like i do),0.715,0.945,2,-6.464,0,0.0615,0.0845,0.268,0.599,132.005,238830,4
1UERuR9hjz9GM609JIjtGx,Floating Points,Problems,0.703,0.873,10,-9.467,0,0.0562,0.57,0.316,0.534,136.0,277239,4
7B0gxo0jQCy5Lk93RIODAC,Nia Archives,Baianá,0.531,0.89,2,-6.308,1,0.144,0.497,0.0913,0.411,169.963,152559,4
4Uz7te06snSlkmcIwwAvkw,LF SYSTEM,Hungry (For Love),0.605,0.973,7,-3.214,0,0.0806,0.0995,0.455,0.49,128.014,176367,4
0UNzzZBuQfZwNJ3mk2PYbm,Joy Orbison,Blind Date,0.617,0.916,10,-5.937,1,0.12,0.00036,0.0654,0.246,133.959,245821,4
3Pl95ENb22SyQA0ATuV7M3,Chloé Robinson,Pax - Four Tet Remix,0.769,0.842,2,-8.6,1,0.0505,0.892,0.0621,0.347,134.02,320000,4
5guwpkhQxfe25YB9ErXqGY,Shygirl,Poison,0.845,0.581,6,-10.676,0,0.123,0.000125,0.101,0.49,126.97,168375,4
3AaGCSpUFAmtB1XGxz5IWk,Bonobo,ATK,0.705,0.88,7,-8.887,1,0.0631,0.862,0.0512,0.581,127.982,245208,4
09gQa20jqpVBfVTxyNywd0,Loraine James,Black Excellence (Stay On It),0.451,0.83,10,-6.777,1,0.0402,0.929,0.145,0.863,120.02,304000,4
2sLVs5iX0osogh4jcsAJkv,Fred again..,Danielle (smile on my face),0.678,0.931,5,-5.813,1,0.0867,0.0275,0.091,0.346,130.021,201231,4
3oHOObxpYRdsRwVqizxWNM,Dusky,Endless Sky,0.75,0.821,8,-6.504,1,0.0437,0.0503,0.325,0.654,130.015,159562,4
4g8jAI4REmgqoE9aDZwFZi,Daphni,Take Two,0.626,0.9,1,-9.387,1,0.0431,0.76,0.104,0.682,136.988,199876,4
4ho6jJU2nbX0NbiF33i4tX,Jon Hopkins,To Feel Again / Trois,0.496,0.873,4,-7.547,1,0.0362,0.896,0.099,0.0458,130.0,293489,4
4BG4Smwt9cu1RzAKurrIN6,George FitzGerald,Setting Sun,0.546,0.87,1,-6.795,1,0.0384,0.659,0.0527,0.036,129.998,373167,4
3360fzHkXtFCGSnTpyBMRA,Elderbrook,Howl,0.634,0.659,4,-7.143,1,0.0263,0.00325,0.161,0.38,126.977,257431,4
0QiIiiGroBqnleILFsPUuc,Kornél Kovács,Follow You,0.741,0.728,7,-8.367,1,0.0536,0.872,0.102,0.821,127.996,244262,4
0wFXUI6pRUNLdhQYwwPykg,Carl Cox,See the Sun Rising,0.555,0.931,5,-6.768,0,0.0486,0.934,0.104,0.508,133.983,247873,4
10MxEAlZuBPiidcQ9cNyvx,Dusky,Frontier,0.792,0.786,6,-8.901,1,0.0653,0.783,0.132,0.698,128.017,221387,4
6ZKiCDG5v785d9aYTqkhhk,Shanti Celeste,Cutie - Edit,0.778,0.559,7,-9.474,0,0.0467,0.904,0.0825,0.35,140.01,240724,4
3rvp7TBddkCytpmqmlvb55,A+A,North Star,0.694,0.986,7,-9.88,1,0.054,0.917,0.116,0.58,134.0,403172,4
7vtUYIuSNNeVZo2HoTAdtl,Elder Island,Motive,0.752,0.577,0,-8.829,1,0.0292,0.11,0.0804,0.238,120.021,228621,4
5z6dgJF0CHLk06CJpjxCXb,TIBASKO,The Limit,0.77,0.979,4,-6.266,1,0.0527,0.92,0.093,0.532,140.021,173504,4
2sFOzyRqcN5fKXPrZJjoc2,TSHA,Running,0.631,0.965,4,-5.273,0,0.0689,0.663,0.0717,0.395,120.029,232305,3
3DVXjW5D4mPCS7lcUdkuq4,George Riley,Desire,0.689,0.609,10,-9.889,0,0.0382,0.0455,0.117,0.103,128.024,108646,4
2wi0QZ8SagYzfSeAee6Rm4,Elkka,I Just Want To Love You,0.596,0.781,1,-8.436,1,0.0353,0.737,0.086,0.306,134.0,230644,4
6ilWOSGCIpyRCnVUZsSbEB,Anish Kumar,Sadhana,0.73,0.891,1,-7.939,1,0.0701,0.712,0.186,0.976,129.965,173264,4
7GwDMfDBgPn29Tsq8NAtID,Boys Noize,Trip,0.609,0.921,7,-5.129,0,0.0521,0.791,0.124,0.45,134.008,223881,4
5qJm4xvRCOQ1zedunDnndW,Melé,Talkin' Drums,0.818,0.748,11,-6.678,0,0.0717,0.00775,0.207,0.472,126.069,180952,4
1Pfun1VMFlTBwgqLNdUxcR,Gold Panda,The Corner,0.297,0.555,11,-9.344,1,0.047,0.409,0.303,0.228,144.601,220653,4
