,rank,song,artist,genre,year,uri
159,70,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] [feat. Freshlyground],Shakira,Pop,2022.0,2Cd9iWfcOpGDHLz6tVA3G4
160,71,And We Danced (feat. Ziggy Stardust),Macklemore,Hip Hop/Rap,2022.0,1FCQEg7wOK9IIBuxx63krr
161,72,Ham kummst,Seiler und Speer,German Folk,2022.0,30t2cItUPY7CvZOup7zptn
162,73,Somebody That I Used to Know (feat. Kimbra),Gotye,Alternative,2022.0,5AicsXdlDQixUh77Q7M2GA
163,74,Bilder im Kopf,Sido,Hip Hop/Rap,2022.0,6dNmFMOl3iLVmgiLyNWTGC
164,75,"Back In Time (From ""Men In Black III"")",Pitbull,Pop,2022.0,3eQlGeyuSibgAGPEJugaDW
165,76,What You Mean,Leonard Pospichal & Robert Marcello,Rock,2022.0,14SDCzQ97bAVPyEZsJGXfT
166,77,Love the Way You Lie (feat. Rihanna),Eminem,Hip Hop/Rap,2022.0,6bzuCE27mlZKc9xXljntD6
167,78,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,Hip-Hop,2022.0,3bidbhpOYeV4knp8AIu8Xn
168,79,Happy (Oktoberfest Mix),Pharrell Williams,Pop,2022.0,5O6yBltlqjGz9vhsxBHNDE
169,80,Auf uns,Andreas Bourani,Pop,2022.0,2byEuIhD3NwTbFTB6B3lOE
170,81,We Are Young (feat. Janelle Monáe),Fun.,Alternative,2022.0,7a86XRg84qjasly9f6bPSD
171,82,Tage wie diese,Die Toten Hosen,Rock,2022.0,2lYsCjTvXIHOqT8xSbK2jq
172,83,Whistle,Flo Rida,Hip Hop/Rap,2022.0,3bC1ahPIYt1btJzSSEyyrF
173,84,I See Fire,Ed Sheeran,Soundtrack,2022.0,1fu5IQSRgPxJL2OTP7FVLW
174,85,Nach dem Feiern gehen wir heiern,Olaf & Hans,German Pop,2022.0,1dd6eEpPESwd0tEQGt89Gs
175,86,Let Her Go,Passenger,Rock,2022.0,1KxwZYyzWNyZSRyErj2ojT
176,87,Impossible,James Arthur,Pop,2022.0,1T8PwF3JhIiWwBhun23RNe
177,88,Danza Kuduro (feat. Don Omar) [Version MTO],Lucenzo,Dance,2022.0,2a1o6ZejUi8U3wzzOtCOYw
178,89,Radioactive,Imagine Dragons,Pop,2022.0,4G8gkOterJn0Ywt6uhqbhp
179,90,Brenna tuats guat,Hubert von Goisern,Pop,2022.0,2oSdWx7HNrojEe1I253Myt
180,91,I Love It (feat. Charli XCX),Icona Pop,Pop,2022.0,6HZ9VeI5IRFCNQLXhpF4bq
181,92,Just Give Me a Reason (feat. Nate Ruess),P!nk,Pop,2022.0,1mKXFLRA179hdOWQBwUk9e
182,93,Ma chérie (DJ Antoine vs Mad Mark 2k12 Radio Edit) [feat. The Beat Shakers],DJ Antoine,Dance,2022.0,5fIAjqccF1OqzMnLOweoDo
183,94,Rosana,Wax,Pop,2022.0,5hlQ9yTpC4VkUbtwdKmN4m
184,95,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,Pop,2022.0,4QNpBfC0zvjKqPJcyqBy9W
185,96,Hey Brother,Avicii,House,2022.0,4lhqb6JvbHId48OUJGwymk
186,97,Timber (feat. Ke$ha),Pitbull,Pop,2022.0,3cHyrEgdyYRjgJKSOiOtcS
187,1,Warrior,Oscar and the Wolf,Pop,2022.0,1lgN0A2Vki2FTON5PYq42m
188,2,Noodgeval,Goldband,Pop,2022.0,2LcmbuYX7tyR4DWy3b273L
189,3,I'm Good (Blue) [Extended],David Guetta & Bebe Rexha,Dance,2022.0,1xGmP8HasLB2Vcp0iBHeXP
190,5,Calm Down,Rema,World,2022.0,0WtM2NBVQNNJLh6scP13H8
191,8,Better Off Alone,Berre,Pop,2022.0,5XVjNRubJUW0iPhhSWpLCj
192,9,Follow Me (DJ Jordan Extended Remix),"Derb, Mark Sherry & Space Frog",Dance,2022.0,2wWTIQck18yAuOxAuJKYMS
193,11,DESPECHÁ,ROSALÍA,Pop in Spanish,2022.0,5ildQOEKmJuWGl2vRkFdYc
194,13,Liquid Is Liquid (Extended Mix),Alberto Remondini & Sergio Marini,Dance,2022.0,6zqaIjZlfx5MxAyt1gO2a6
195,14,Call on me (feat. Ed Sheeran),Vianney,French Pop,2022.0,2RO4aPByijQUqBZhYm1apz
196,15,Million Dollar Baby,Ava Max,Pop,2022.0,3pPN20syOYvbUuEiBpbenI
197,16,Alles,S.van Samang,Pop,2022.0,69InBLmrz7Cu0jBJk1dAgw
198,17,HISTORY,Joel Corry & Becky Hill,Dance,2022.0,0HMjXBAZmSYOTTi33WpMso
199,18,abcdefu,GAYLE,Pop,2022.0,4fouWK6XVHhzl78KzQ1UjL
200,19,Uit Mijn Hoofd,Pauline,Pop,2022.0,2RHbwWdj7mVUhJRxlTG6iq
201,20,B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,Dance,2022.0,39JofJHEtg8I4fSyo7Imft
202,21,Dovy Keukens Hardcore Remix,POMBAK,Hardcore,2022.0,5p7lSUWRO6aqN0LuawnZax
203,22,Kwijt,Suzan & Freek,Pop,2022.0,1dbNg2ougivyUv6f9hQQzU
204,24,Afraid To Feel,LF SYSTEM,Dance,2022.0,40SBS57su9xLiE1WqkXOVr
205,26,Vleugels,K3,Pop,2022.0,4l6d7RyTEoEL2Zne1OXdek
206,29,Show Your Love,"Nils van Zandt, AMARI & Mr. Jim",Dance,2022.0,0WKAxUAuhG6W8fAzXyZOjf
207,31,Wat Een Idee!?,Pommelien Thijs,Pop,2022.0,5T6gL9FrOwD6bNYFsy4twf
208,32,Dance with Me,Kevin de Vries,Electronic,2022.0,55rn9bs7vZBsEK4Y4URraH
209,33,All By Myself,"Alok, Sigala & Ellie Goulding",Dance,2022.0,5Hp4xFihdOE2dmDzxWcBFb
210,34,Quando Quando (feat. Patrizia Ferrara),The Avener & Waldeck,Electronic,2022.0,5NVKrGAZjusEqZJ7onT9gO
211,35,Visstick Gooi Die Kanker Kick,Natte Visstick,Dance,2022.0,7lJ7lEntxkNUrbDN9giLmB
212,38,Spoor 5,Natte Visstick,Dance,2022.0,71JBAmEVHPb6Ww4j7340bJ
213,39,Vivre,Michel Berger,French Pop,2022.0,2jA7IONZUcWrYxEMnwAPDZ
214,40,Water (feat. Clara La San),Bicep,Electronic,2022.0,2dqrmCXCYcuccIR4DZbBp2
215,41,Eye of the Tiger,Survivor,Soundtrack,2022.0,2KH16WveTQWT6KOG9Rg6e2
216,42,Hijo de la luna,Mecano,Pop,2022.0,2LmlZvAmT1L0O3iPVSQWOX
217,43,Jerusalema (feat. Nomcebo Zikode) [Edit],Master KG,Dance,2022.0,2R7gA9dAHTjASKU0wiTJok
218,45,Follow the Sun,Xavier Rudd,Alternative,2022.0,3Y7fpFZbHLpAvWJJYGehz0
219,46,Demasiado Corazon (Too Much Heart),Mink DeVille,Pop,2022.0,62df56oXNdwFGzmJ4pE1pI
220,47,Dat Heb Jij Gedaan,MEAU,Pop,2022.0,4wn7cO2iHlWueXGDd4gH9g
221,50,Where Did You Go?,Jax Jones & MNEK,Dance,2022.0,3sa06xVNmLLYIxdNNmVQN8
222,51,In De Regen,Camille,Pop,2022.0,4u13yX5fyJH05CXdcQIosa
223,53,Here I Go Again,Whitesnake,Hard Rock,2022.0,1qOU8KzFifXE9YrgjVwYvc
224,54,Bewegen Is Gezond,Kinderen Voor Kinderen,Pop,2022.0,3U2FMlenYkTKN6Dyb3STda
225,55,Sweet Child O' Mine,Guns N' Roses,Hard Rock,2022.0,7snQQk1zcKl8gZ92AnueZW
226,56,Uit Mijn Hoofd (De Bromeo's Remix),Pauline,Dance,2022.0,1clsrb8XjprUZg57D8LAAk
227,57,Say My Name,Berre,Pop,2022.0,7H6ev70Weq6DdpZyyTmUXk
228,58,Over You,"Sharam Jey, Celestal & Moss Kena",Electronic,2022.0,2R5uY1gbIKzGB1yAOH067s
229,60,Drugs From Amsterdam,Mau P,Dance,2022.0,0w7JPlp7eEQI2EKW3ayXrv
230,61,La recette,Slimane,French Pop,2022.0,3cwlAjOIFDEeLxda2Z5fPO
231,62,B.O.T.A. (Baddest Of Them All) [Edit],Eliza Rose & Interplanetary Criminal,Dance,2022.0,39JofJHEtg8I4fSyo7Imft
232,63,Stay With Me,"Calvin Harris, Justin Timberlake, Halsey & Pharrell Williams",Dance,2022.0,5Nm9ERjJZ5oyfXZTECKmRt
233,65,Blind Op Zoek (Trapagas),Jinho 9,Hip Hop/Rap,2022.0,0jm8p2ErwB4u3uvxc7vxGy
234,66,Secret,Louane,French Pop,2022.0,1NhPKVLsHhFUHIOZ32QnS2
235,67,Tout savoir,Adé,French Pop,2022.0,5hquKiRUsOh0079PvO7EJN
236,68,Believe (feat. Goodboys),Acraze,Dance,2022.0,6h5y2LCqCQudsCarn61CNE
237,69,KU LO SA - A COLORS SHOW,Oxlade,Hip Hop/Rap,2022.0,2WigMwGJysIh9fRnSJvpjn
238,70,Baraye,Shervin Hajiaghapour,R&B/Soul,2022.0,5lkeYKxvxXb80SzJBjJY5h
239,71,Kernkraft 400 (A Better Day),Topic & A7S,Dance,2022.0,3kcKlOkQQEPVwxwljbGJ5p
240,72,In The Stars,Benson Boone,Pop,2022.0,1ei3hzQmrgealgRKFxIcWn
241,73,Valhalla Calling (feat. Peyton Parrish) [Duet Version],Miracle of Sound,Heavy Metal,2022.0,32fAGxpjvXMdEtinPLIjDQ
242,74,Angel,Sault,Alternative,2022.0,1T8YUlqrG15Tjetxhos6eJ
243,75,What Dreams Are Made Of,Brent Morgan,Pop,2022.0,7J1S5n6Kn4wZEu6xrBT0gk
244,76,Oh! Wat Een Vriend Ben Jij,Will Tura,Pop,2022.0,2Hq4BxGFQyFoL4YjYXeYbY
245,77,Mr. Clarinet,The Birthday Party,Alternative,2022.0,266M1Dgd2GeR8xW2tufu3a
246,78,Swingin' Five,Klaus Weiss,Jazz,2022.0,23RuCuUzVU8KMJOjJqH424
247,79,Weightless,Coals,Alternative,2022.0,0aZJGkkXR3DgaFqo5sB8ot
248,80,Therapy pt. 2 (feat. Mac Miller),Robert Glasper,Jazz,2022.0,5dNQ0AsPitoIQSRbsXKKwE
